Hora,Temperatura,Humidade,Luminosidade,Gás,Ventoinhas_Estado,Janelas_Estado
09:12:26,25.5,67.0,329,Não,Desligadas,Fechadas
09:12:27,25.5,67.0,329,Não,Ligadas,Fechadas
09:12:36,25.5,67.0,340,Não,Ligadas,Fechadas
09:12:36,25.7,67.0,340,Não,Ligadas,Fechadas
09:12:36,25.7,65.0,340,Não,Ligadas,Fechadas
09:12:37,25.7,65.0,340,Não,Ligadas,Fechadas
09:12:47,25.7,65.0,338,Não,Ligadas,Fechadas
09:12:47,25.5,65.0,338,Não,Ligadas,Fechadas
09:12:57,25.5,65.0,357,Não,Ligadas,Fechadas
09:12:57,26.5,65.0,357,Não,Ligadas,Fechadas
09:12:57,26.5,66.0,357,Não,Ligadas,Fechadas
09:13:07,26.5,66.0,355,Não,Ligadas,Fechadas
09:13:07,26.3,66.0,355,Não,Ligadas,Fechadas
09:13:07,26.3,65.0,355,Não,Ligadas,Fechadas
09:13:17,26.3,65.0,350,Não,Ligadas,Fechadas
09:13:17,26.0,65.0,350,Não,Ligadas,Fechadas
09:13:27,26.0,65.0,360,Não,Ligadas,Fechadas
09:13:27,25.4,65.0,360,Não,Ligadas,Fechadas
09:13:27,25.4,64.0,360,Não,Ligadas,Fechadas
09:13:37,25.4,64.0,361,Não,Ligadas,Fechadas
09:13:37,26.5,64.0,361,Não,Ligadas,Fechadas
09:13:37,26.5,65.0,361,Não,Ligadas,Fechadas
09:13:47,26.5,65.0,333,Não,Ligadas,Fechadas
09:13:47,25.5,65.0,333,Não,Ligadas,Fechadas
09:13:47,25.5,64.0,333,Não,Ligadas,Fechadas
09:13:57,25.5,64.0,346,Não,Ligadas,Fechadas
09:13:57,26.1,64.0,346,Não,Ligadas,Fechadas
09:13:57,26.1,65.0,346,Não,Ligadas,Fechadas
09:14:07,26.1,65.0,355,Não,Ligadas,Fechadas
09:14:07,26.3,65.0,355,Não,Ligadas,Fechadas
09:14:17,26.3,65.0,343,Não,Ligadas,Fechadas
09:14:17,25.7,65.0,343,Não,Ligadas,Fechadas
09:14:17,25.7,64.0,343,Não,Ligadas,Fechadas
09:14:27,25.7,64.0,340,Não,Ligadas,Fechadas
09:14:37,25.7,64.0,348,Não,Ligadas,Fechadas
09:14:37,26.3,64.0,348,Não,Ligadas,Fechadas
09:14:37,26.3,65.0,348,Não,Ligadas,Fechadas
09:14:47,26.3,65.0,339,Não,Ligadas,Fechadas
09:14:47,25.3,65.0,339,Não,Ligadas,Fechadas
09:14:47,25.3,64.0,339,Não,Ligadas,Fechadas
09:14:57,25.3,64.0,343,Não,Ligadas,Fechadas
09:14:57,26.3,64.0,343,Não,Ligadas,Fechadas
09:14:57,26.3,65.0,343,Não,Ligadas,Fechadas
09:15:07,26.3,65.0,334,Não,Ligadas,Fechadas
